,config_enc,benchmark,network_type,encoding,configuration,k,n_nodes,n_edges,n_vars,n_clauses,n_groups,n_Avars,utime_enc,max_res_set_size_enc,exit_status_enc,config_solve,timeout,memory_limit,utime_solve,stime,wtime,max_res_set_size_solve,exit_status_solve,signal,optimised_value,arjun_time,encoding_t/o,encoding_m/o,solving_m/o,solving_t/o,other_error
2,config-0,MadridAdj.txt,kaustav,,,1,54.0,226.0,123.0,717.0,54.0,15.0,4.0,48936,0,config-0,7200.0,4000000.0,0.01,0.0,0:00,1840.0,0.0,,36.0,0.01,False,False,False,False,False
52,config-0,MadridAdj.txt,kaustav,,,2,54.0,226.0,213.0,840.0,54.0,105.0,6.62,48940,0,config-0,7200.0,4000000.0,0.01,0.0,0:00,1936.0,0.0,,76.0,0.01,False,False,False,False,False
102,config-0,MadridAdj.txt,kaustav,,,3,54.0,226.0,230.0,907.0,54.0,122.0,7.72,48940,0,config-0,7200.0,4000000.0,0.02,0.02,0:00,1960.0,0.0,,94.0,0.02,False,False,False,False,False
152,config-0,MadridAdj.txt,kaustav,,,4,54.0,226.0,247.0,973.0,54.0,139.0,7.85,48936,0,config-0,7200.0,4000000.0,0.01,0.0,0:00,1948.0,0.0,,106.0,0.01,False,False,False,False,False
202,config-0,MadridAdj.txt,kaustav,,,6,54.0,226.0,320.0,1069.0,54.0,212.0,7.53,48936,0,config-0,7200.0,4000000.0,0.01,0.0,0:00,2028.0,0.0,,108.0,0.01,False,False,False,False,False
252,config-0,MadridAdj.txt,kaustav,,,8,54.0,226.0,352.0,1154.0,54.0,244.0,6.19,48940,0,config-0,7200.0,4000000.0,0.01,0.0,0:00,2040.0,0.0,,108.0,0.01,False,False,False,False,False
302,config-0,MadridAdj.txt,kaustav,,,10,54.0,226.0,392.0,1235.0,54.0,284.0,6.58,48940,0,config-0,7200.0,4000000.0,0.01,0.0,0:00,2024.0,0.0,,108.0,0.01,False,False,False,False,False
352,config-0,MadridAdj.txt,kaustav,,,12,54.0,226.0,418.0,1291.0,54.0,310.0,5.26,48936,0,config-0,7200.0,4000000.0,0.01,0.0,0:00,2036.0,0.0,,108.0,0.01,False,False,False,False,False
402,config-0,MadridAdj.txt,kaustav,,,16,54.0,226.0,486.0,1395.0,54.0,378.0,5.81,48940,0,config-0,7200.0,4000000.0,0.0,0.03,0:00,2136.0,0.0,,108.0,0.01,False,False,False,False,False
1,config-0,ParisAdj.txt,kaustav,,,1,10.0,14.0,23.0,72.0,10.0,3.0,1.14,48840,0,config-0,7200.0,4000000.0,0.0,0.0,0:00,1648.0,0.0,,12.0,0.00,False,False,False,False,False
51,config-0,ParisAdj.txt,kaustav,,,2,10.0,14.0,38.0,94.0,10.0,18.0,1.1,48852,0,config-0,7200.0,4000000.0,0.0,0.01,0:00,1656.0,0.0,,14.0,0.00,False,False,False,False,False
101,config-0,ParisAdj.txt,kaustav,,,3,10.0,14.0,48.0,101.0,10.0,28.0,1.21,48852,0,config-0,7200.0,4000000.0,0.0,0.01,0:00,1660.0,0.0,,18.0,0.00,False,False,False,False,False
151,config-0,ParisAdj.txt,kaustav,,,4,10.0,14.0,50.0,104.0,10.0,30.0,1.16,48848,0,config-0,7200.0,4000000.0,0.0,0.03,0:00,1660.0,0.0,,18.0,0.00,False,False,False,False,False
201,config-0,ParisAdj.txt,kaustav,,,6,10.0,14.0,48.0,98.0,10.0,28.0,1.23,48848,0,config-0,7200.0,4000000.0,0.0,0.02,0:00,1660.0,0.0,,20.0,0.00,False,False,False,False,False
251,config-0,ParisAdj.txt,kaustav,,,8,10.0,14.0,38.0,76.0,10.0,18.0,1.21,48848,0,config-0,7200.0,4000000.0,0.0,0.01,0:00,1656.0,0.0,,20.0,0.00,False,False,False,False,False
301,config-0,ParisAdj.txt,kaustav,,,10,10.0,14.0,20.0,48.0,10.0,0.0,1.04,48844,0,config-0,7200.0,4000000.0,0.0,0.01,0:00,1628.0,0.0,,20.0,0.00,False,False,False,False,False
351,config-0,ParisAdj.txt,kaustav,,,12,10.0,14.0,20.0,48.0,10.0,0.0,1.04,48844,0,config-0,7200.0,4000000.0,0.0,0.02,0:00,1628.0,0.0,,20.0,0.00,False,False,False,False,False
401,config-0,ParisAdj.txt,kaustav,,,16,10.0,14.0,20.0,48.0,10.0,0.0,1.08,48844,0,config-0,7200.0,4000000.0,0.0,0.03,0:00,1628.0,0.0,,20.0,0.00,False,False,False,False,False
0,config-0,PhilippineAdj.txt,kaustav,,,1,14.0,51.0,35.0,166.0,14.0,7.0,1.15,48864,0,config-0,7200.0,4000000.0,0.0,0.0,0:00,1656.0,0.0,,10.0,0.00,False,False,False,False,False
50,config-0,PhilippineAdj.txt,kaustav,,,2,14.0,51.0,54.0,197.0,14.0,26.0,1.19,48864,0,config-0,7200.0,4000000.0,0.0,0.0,0:00,1680.0,0.0,,24.0,0.00,False,False,False,False,False
100,config-0,PhilippineAdj.txt,kaustav,,,3,14.0,51.0,58.0,211.0,14.0,30.0,1.07,48864,0,config-0,7200.0,4000000.0,0.0,0.02,0:00,1684.0,0.0,,28.0,0.00,False,False,False,False,False
150,config-0,PhilippineAdj.txt,kaustav,,,4,14.0,51.0,62.0,224.0,14.0,34.0,1.11,48864,0,config-0,7200.0,4000000.0,0.0,0.0,0:00,1688.0,0.0,,28.0,0.00,False,False,False,False,False
200,config-0,PhilippineAdj.txt,kaustav,,,6,14.0,51.0,84.0,236.0,14.0,56.0,1.11,48860,0,config-0,7200.0,4000000.0,0.0,0.03,0:00,1708.0,0.0,,28.0,0.00,False,False,False,False,False
250,config-0,PhilippineAdj.txt,kaustav,,,8,14.0,51.0,82.0,230.0,14.0,54.0,1.1,48864,0,config-0,7200.0,4000000.0,0.0,0.01,0:00,1708.0,0.0,,28.0,0.00,False,False,False,False,False
300,config-0,PhilippineAdj.txt,kaustav,,,10,14.0,51.0,72.0,208.0,14.0,44.0,1.16,48868,0,config-0,7200.0,4000000.0,0.0,0.02,0:00,1696.0,0.0,,28.0,0.00,False,False,False,False,False
350,config-0,PhilippineAdj.txt,kaustav,,,12,14.0,51.0,54.0,170.0,14.0,26.0,1.26,48868,0,config-0,7200.0,4000000.0,0.0,0.01,0:00,1680.0,0.0,,28.0,0.00,False,False,False,False,False
400,config-0,PhilippineAdj.txt,kaustav,,,16,14.0,51.0,28.0,130.0,14.0,0.0,1.19,48864,0,config-0,7200.0,4000000.0,0.0,0.0,0:00,1652.0,0.0,,28.0,0.00,False,False,False,False,False
3,config-0,ZerkaniAdj.txt,kaustav,,,1,39.0,89.0,91.0,370.0,39.0,13.0,1.18,48884,0,config-0,7200.0,4000000.0,0.0,0.0,0:00,1748.0,0.0,,32.0,0.01,False,False,False,False,False
53,config-0,ZerkaniAdj.txt,kaustav,,,2,39.0,89.0,153.0,456.0,39.0,75.0,1.28,48884,0,config-0,7200.0,4000000.0,0.0,0.0,0:00,1808.0,0.0,,58.0,0.00,False,False,False,False,False
