,config,benchmark,network_type,encoding,configuration,k,n_nodes,n_edges,n_vars,n_clauses,n_groups,n_Avars,utime,max_res_set_size,exit_status
4,config-0,MadridAdj.txt,kaustav,,,1,54.0,226.0,123.0,717.0,54.0,15.0,4.0,48936,0
56,config-0,MadridAdj.txt,kaustav,,,2,54.0,226.0,213.0,840.0,54.0,105.0,6.62,48940,0
108,config-0,MadridAdj.txt,kaustav,,,3,54.0,226.0,230.0,907.0,54.0,122.0,7.72,48940,0
160,config-0,MadridAdj.txt,kaustav,,,4,54.0,226.0,247.0,973.0,54.0,139.0,7.85,48936,0
212,config-0,MadridAdj.txt,kaustav,,,6,54.0,226.0,320.0,1069.0,54.0,212.0,7.53,48936,0
264,config-0,MadridAdj.txt,kaustav,,,8,54.0,226.0,352.0,1154.0,54.0,244.0,6.19,48940,0
316,config-0,MadridAdj.txt,kaustav,,,10,54.0,226.0,392.0,1235.0,54.0,284.0,6.58,48940,0
368,config-0,MadridAdj.txt,kaustav,,,12,54.0,226.0,418.0,1291.0,54.0,310.0,5.26,48936,0
420,config-0,MadridAdj.txt,kaustav,,,16,54.0,226.0,486.0,1395.0,54.0,378.0,5.81,48940,0
3,config-0,ParisAdj.txt,kaustav,,,1,10.0,14.0,23.0,72.0,10.0,3.0,1.14,48840,0
55,config-0,ParisAdj.txt,kaustav,,,2,10.0,14.0,38.0,94.0,10.0,18.0,1.1,48852,0
107,config-0,ParisAdj.txt,kaustav,,,3,10.0,14.0,48.0,101.0,10.0,28.0,1.21,48852,0
159,config-0,ParisAdj.txt,kaustav,,,4,10.0,14.0,50.0,104.0,10.0,30.0,1.16,48848,0
211,config-0,ParisAdj.txt,kaustav,,,6,10.0,14.0,48.0,98.0,10.0,28.0,1.23,48848,0
263,config-0,ParisAdj.txt,kaustav,,,8,10.0,14.0,38.0,76.0,10.0,18.0,1.21,48848,0
315,config-0,ParisAdj.txt,kaustav,,,10,10.0,14.0,20.0,48.0,10.0,0.0,1.04,48844,0
367,config-0,ParisAdj.txt,kaustav,,,12,10.0,14.0,20.0,48.0,10.0,0.0,1.04,48844,0
419,config-0,ParisAdj.txt,kaustav,,,16,10.0,14.0,20.0,48.0,10.0,0.0,1.08,48844,0
1,config-0,PhilippineAdj.txt,kaustav,,,1,14.0,51.0,35.0,166.0,14.0,7.0,1.15,48864,0
