,config_enc,benchmark,network_type,encoding,configuration,ilp_configuration,k,encoding_t/o,building_successful,encoding_successful,n_nodes,n_edges,utime_enc,max_res_set_size_enc,exit_status_enc,n_vars,n_csts,config_solve,timeout,memory_limit,utime_solve,stime,wtime,max_res_set_size_solve,exit_status_solve,signal,solution_time,deterministic_time,memout,all_rows_eliminated_during_preprocessing,n_rows,n_non_zeros,n_binaries,optimised_value,encoding_m/o,solving_t/o,solving_m/o
1,config0,MadridAdj.txt,kaustav,ilp,,config0,1,False,True,True,54.0,226.0,1.25,53812,0,108.0,1533.0,,,,,,,,,,,,,,,,,,False,False,False
101,config0,MadridAdj.txt,kaustav,ilp,,config0,2,False,True,True,54.0,226.0,45.7,3153760,0,108.0,815029.0,,,,,,,,,,,,,,,,,,False,False,False
201,config0,MadridAdj.txt,kaustav,ilp,,config0,3,False,True,False,,,51.2,3728612,1,,,,,,,,,,,,,,,,,,,,True,False,False
301,config0,MadridAdj.txt,kaustav,ilp,,config0,4,False,True,False,,,53.32,3728616,1,,,,,,,,,,,,,,,,,,,,True,False,False
401,config0,MadridAdj.txt,kaustav,ilp,,config0,6,False,True,False,,,67.63,3728596,1,,,,,,,,,,,,,,,,,,,,True,False,False
501,config0,MadridAdj.txt,kaustav,ilp,,config0,8,False,True,False,,,64.63,3728596,1,,,,,,,,,,,,,,,,,,,,True,False,False
601,config0,MadridAdj.txt,kaustav,ilp,,config0,10,False,True,False,,,64.15,3728600,1,,,,,,,,,,,,,,,,,,,,True,False,False
701,config0,MadridAdj.txt,kaustav,ilp,,config0,12,False,True,False,,,64.2,3728596,1,,,,,,,,,,,,,,,,,,,,True,False,False
801,config0,MadridAdj.txt,kaustav,ilp,,config0,16,False,True,False,,,62.62,3728592,1,,,,,,,,,,,,,,,,,,,,True,False,False
0,config0,ParisAdj.txt,kaustav,ilp,,config0,1,False,True,True,10.0,14.0,1.08,51880,0,20.0,65.0,,,,,,,,,,,,,,,,,,False,False,False
100,config0,ParisAdj.txt,kaustav,ilp,,config0,2,False,True,True,10.0,14.0,0.87,51968,0,20.0,396.0,,,,,,,,,,,,,,,,,,False,False,False
200,config0,ParisAdj.txt,kaustav,ilp,,config0,3,False,True,True,10.0,14.0,0.97,54252,0,20.0,751.0,,,,,,,,,,,,,,,,,,False,False,False
300,config0,ParisAdj.txt,kaustav,ilp,,config0,4,False,True,True,10.0,14.0,1.36,52324,0,20.0,842.0,,,,,,,,,,,,,,,,,,False,False,False
400,config0,ParisAdj.txt,kaustav,ilp,,config0,6,False,True,True,10.0,14.0,3.55,52336,0,20.0,862.0,,,,,,,,,,,,,,,,,,False,False,False
500,config0,ParisAdj.txt,kaustav,ilp,,config0,8,False,True,True,10.0,14.0,4.46,52332,0,20.0,862.0,,,,,,,,,,,,,,,,,,False,False,False
