,config,benchmark,network_type,encoding,configuration,ilp_configuration,k,encoding_t/o,building_successful,encoding_successful,n_nodes,n_edges,utime,max_res_set_size,exit_status,n_vars,n_csts,encoding_m/o
2,config0,MadridAdj.txt,kaustav,ilp,,config0,1,False,True,True,54.0,226.0,1.25,53812,0,108.0,1533.0,
106,config0,MadridAdj.txt,kaustav,ilp,,config0,2,False,True,True,54.0,226.0,45.7,3153760,0,108.0,815029.0,
210,config0,MadridAdj.txt,kaustav,ilp,,config0,3,False,True,False,,,51.2,3728612,1,,,True
314,config0,MadridAdj.txt,kaustav,ilp,,config0,4,False,True,False,,,53.32,3728616,1,,,True
418,config0,MadridAdj.txt,kaustav,ilp,,config0,6,False,True,False,,,67.63,3728596,1,,,True
522,config0,MadridAdj.txt,kaustav,ilp,,config0,8,False,True,False,,,64.63,3728596,1,,,True
626,config0,MadridAdj.txt,kaustav,ilp,,config0,10,False,True,False,,,64.15,3728600,1,,,True
730,config0,MadridAdj.txt,kaustav,ilp,,config0,12,False,True,False,,,64.2,3728596,1,,,True
834,config0,MadridAdj.txt,kaustav,ilp,,config0,16,False,True,False,,,62.62,3728592,1,,,True
1,config0,ParisAdj.txt,kaustav,ilp,,config0,1,False,True,True,10.0,14.0,1.08,51880,0,20.0,65.0,
105,config0,ParisAdj.txt,kaustav,ilp,,config0,2,False,True,True,10.0,14.0,0.87,51968,0,20.0,396.0,
209,config0,ParisAdj.txt,kaustav,ilp,,config0,3,False,True,True,10.0,14.0,0.97,54252,0,20.0,751.0,
313,config0,ParisAdj.txt,kaustav,ilp,,config0,4,False,True,True,10.0,14.0,1.36,52324,0,20.0,842.0,
417,config0,ParisAdj.txt,kaustav,ilp,,config0,6,False,True,True,10.0,14.0,3.55,52336,0,20.0,862.0,
521,config0,ParisAdj.txt,kaustav,ilp,,config0,8,False,True,True,10.0,14.0,4.46,52332,0,20.0,862.0,
625,config0,ParisAdj.txt,kaustav,ilp,,config0,10,False,True,True,10.0,14.0,4.5,52328,0,20.0,862.0,
729,config0,ParisAdj.txt,kaustav,ilp,,config0,12,False,True,True,10.0,14.0,4.45,52332,0,20.0,862.0,
833,config0,ParisAdj.txt,kaustav,ilp,,config0,16,False,True,True,10.0,14.0,4.51,52332,0,20.0,862.0,
3,config0,PhilippineAdj.txt,kaustav,ilp,,config0,1,False,True,True,14.0,51.0,0.92,51936,0,28.0,113.0,
107,config0,PhilippineAdj.txt,kaustav,ilp,,config0,2,False,True,True,14.0,51.0,0.91,53596,0,28.0,2303.0,
211,config0,PhilippineAdj.txt,kaustav,ilp,,config0,3,False,True,True,14.0,51.0,1.91,62248,0,28.0,8803.0,
315,config0,PhilippineAdj.txt,kaustav,ilp,,config0,4,False,True,True,14.0,51.0,10.12,68276,0,28.0,12306.0,
419,config0,PhilippineAdj.txt,kaustav,ilp,,config0,6,False,True,True,14.0,51.0,173.65,71564,0,28.0,13186.0,
523,config0,PhilippineAdj.txt,kaustav,ilp,,config0,8,False,True,True,14.0,51.0,701.23,71608,0,28.0,13499.0,
627,config0,PhilippineAdj.txt,kaustav,ilp,,config0,10,False,True,True,14.0,51.0,1047.01,71848,0,28.0,13543.0,
731,config0,PhilippineAdj.txt,kaustav,ilp,,config0,12,False,True,True,14.0,51.0,1135.64,71860,0,28.0,13543.0,
835,config0,PhilippineAdj.txt,kaustav,ilp,,config0,16,False,True,True,14.0,51.0,1039.78,71836,0,28.0,13543.0,
4,config0,ZerkaniAdj.txt,kaustav,ilp,,config0,1,False,True,True,39.0,89.0,1.22,52612,0,78.0,819.0,
108,config0,ZerkaniAdj.txt,kaustav,ilp,,config0,2,False,True,True,39.0,89.0,7.8,509532,0,78.0,164066.0,
212,config0,ZerkaniAdj.txt,kaustav,ilp,,config0,3,False,True,False,,,76.86,3728396,1,,,True
316,config0,ZerkaniAdj.txt,kaustav,ilp,,config0,4,False,True,False,,,68.99,3728472,1,,,True
420,config0,ZerkaniAdj.txt,kaustav,ilp,,config0,6,False,True,False,,,165.97,3728528,1,,,True
524,config0,ZerkaniAdj.txt,kaustav,ilp,,config0,8,False,True,False,,,567.44,3728444,1,,,True
628,config0,ZerkaniAdj.txt,kaustav,ilp,,config0,10,False,True,False,,,960.82,3606372,0,,,True
732,config0,ZerkaniAdj.txt,kaustav,ilp,,config0,12,False,True,False,,,958.51,3606372,0,,,True
836,config0,ZerkaniAdj.txt,kaustav,ilp,,config0,16,False,True,False,,,987.27,3605516,0,,,True
53,config0,ca-CondMat.mtx,collaboration,ilp,,config0,1,False,True,False,,,71.48,3632808,0,,,True
157,config0,ca-CondMat.mtx,collaboration,ilp,,config0,2,False,True,False,,,73.85,3656568,0,,,True
261,config0,ca-CondMat.mtx,collaboration,ilp,,config0,3,False,True,False,,,72.78,3656572,0,,,True
365,config0,ca-CondMat.mtx,collaboration,ilp,,config0,4,False,True,False,,,66.65,3656560,0,,,True
469,config0,ca-CondMat.mtx,collaboration,ilp,,config0,6,False,True,False,,,68.59,3656560,0,,,True
